"last_name, first_name",player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
"Andujar, Miguel",609280,2026,4,3,0.0,0.22,-0.22,0.0,0.237,-0.237,0.19,0.342,-0.152
"Devers, Rafael",646240,2026,4,4,0.25,0.271,-0.021,0.25,0.395,-0.145,0.261,0.283,-0.0219999999999999
"Schwarber, Kyle",656941,2026,4,3,0.25,0.11,0.14,1.0,0.376,0.624,0.704,0.198,0.506
"Alvarez, Yordan",670541,2026,4,2,0.0,0.038,-0.038,0.0,0.049,-0.049,0.0,0.036,-0.036
"Canzone, Dominic",686527,2026,4,4,0.5,0.735,-0.235,2.0,2.116,-0.1160000000000001,1.408,1.178,0.2299999999999999
"Ballesteros, Moisés",694208,2026,4,2,0.0,0.178,-0.178,0.0,0.539,-0.539,0.19,0.412,-0.2219999999999999
"Basallo, Samuel",694212,2026,4,3,0.25,0.172,0.078,0.25,0.201,0.0489999999999999,0.261,0.163,0.098
"Young, Cole",702284,2026,3,0,0.0,,,0.0,,,0.0,0.0,0.0
"Lewis, Royce",668904,2026,3,2,0.0,0.148,-0.148,0.0,0.18,-0.18,0.269,0.364,-0.0949999999999999
"Hayes, Ke'Bryan",663647,2026,3,3,0.0,0.327,-0.327,0.0,0.423,-0.423,0.0,0.316,-0.316
"Arenado, Nolan",571448,2026,3,2,0.333,0.25,0.083,0.333,0.289,0.044,0.347,0.235,0.1119999999999999
"Shaw, Matt",807713,2026,3,3,0.0,0.102,-0.102,0.0,0.114,-0.114,0.0,0.095,-0.095
"Alexander, Blaze",677942,2026,3,2,0.333,0.314,0.019,0.333,0.69,-0.3569999999999999,0.347,0.424,-0.077
"Smith, Josh",669701,2026,3,2,0.0,0.038,-0.038,0.0,0.064,-0.064,0.0,0.043,-0.043
"Lawlar, Jordan",691783,2026,3,2,0.333,0.293,0.04,0.667,0.467,0.2,0.529,0.325,0.204
"Bader, Harrison",664056,2026,3,1,0.0,0.001,-0.001,0.0,0.001,-0.001,0.0,0.001,-0.001
"Martin, Austin",668885,2026,3,3,0.333,0.375,-0.0419999999999999,0.333,0.494,-0.1609999999999999,0.347,0.376,-0.029
"Chaparro, Andrés",665953,2026,3,3,0.667,0.662,0.005,1.0,1.653,-0.653,0.877,0.966,-0.0889999999999999
"Vilade, Ryan",668723,2026,3,3,0.0,0.135,-0.135,0.0,0.227,-0.227,0.0,0.152,-0.152
"Sheets, Gavin",657757,2026,3,3,0.0,0.294,-0.294,0.0,0.319,-0.319,0.0,0.267,-0.267
"Walker, Christian",572233,2026,3,3,0.333,0.361,-0.0279999999999999,0.667,0.863,-0.1959999999999999,0.529,0.511,0.018
"Thomas, Alek",677950,2026,3,2,0.0,0.147,-0.147,0.0,0.373,-0.373,0.0,0.217,-0.217
"Simpson, Chandler",802415,2026,3,3,0.333,0.282,0.051,0.333,0.347,-0.0139999999999999,0.347,0.275,0.0719999999999999
"Santana, Carlos",467793,2026,3,2,0.0,0.013,-0.013,0.0,0.033,-0.033,0.0,0.019,-0.019
"Cowser, Colton",681297,2026,3,2,0.0,0.005,-0.005,0.0,0.007,-0.007,0.0,0.014,-0.014
"Acuña, Luisangel",682668,2026,3,3,0.333,0.3,0.033,0.333,0.314,0.019,0.347,0.27,0.0769999999999999
"Tawa, Tim",694374,2026,3,2,0.333,0.091,0.242,0.333,0.106,0.227,0.347,0.091,0.256
